"Inner_Iter",    "Time(sec)"   ,    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,     "Min DT"     ,     "Max DT"     ,     "Min CFL"    ,     "Max CFL"    ,     "Avg CFL"    
          34,      0.1984381604,      -1.423997003,      0.9880037922,      0.5363230891,       3.362925309,      -11.38540835,   1.326478815e-08,   1.298088596e-06,       5.554760341,       5.666411024,       5.666402686
          35,      0.1983263627,      -1.404105723,       1.010857432,      0.5930271816,       3.397376322,      -11.39414947,    1.33973822e-08,   1.308046588e-06,       5.610307945,       5.723075134,       5.723066712
          36,      0.1982651578,      -1.422686124,      0.9805654731,       0.520606291,       3.361884384,      -11.39747852,    1.35312989e-08,   1.334829239e-06,       5.666411024,       5.780305886,        5.78029738
          37,      0.1981563866,      -1.426075033,      0.9880348233,      0.5524174273,       3.335950889,      -11.40242556,   1.366655164e-08,   1.363449142e-06,       5.723075134,       5.838108945,       5.838100353
          38,      0.1980550755,      -1.438843243,      0.9661615266,      0.5059895088,       3.353369257,      -11.40050977,   1.380315389e-08,   1.387077888e-06,       5.780305886,       5.896490034,       5.896481357
          39,      0.1979633298,      -1.211864811,       1.035133039,      0.5749945015,       3.525939949,      -11.40656631,   1.394111927e-08,   1.405660011e-06,       5.838108945,       5.955454934,       5.955443974
          40,      0.1981186293,      -1.383325591,       0.991951194,      0.5418515241,       3.355291924,      -11.40985488,    1.40804615e-08,    1.41852313e-06,       5.896490034,       6.015009484,       6.014998414
          41,      0.1991126669,      -1.401923751,      0.9439443163,      0.5122292501,        3.41368873,      -11.41366369,   1.422119444e-08,    1.42527337e-06,       5.955454934,       6.075159579,       6.075148398
          42,       0.198993036,      -1.440530046,      0.9542019802,      0.5040169739,       3.351400247,      -11.41510389,   1.436333206e-08,   1.447133031e-06,       6.015009484,       6.135911174,       6.135899882
          43,      0.1990673893,      -1.269304125,      0.9892789753,      0.5076331583,       3.474324303,      -11.41252357,   1.450688849e-08,   1.483351571e-06,       6.075159579,       6.197270286,       6.197254332
          44,      0.1989636117,       -1.36802539,       0.986573367,      0.6018270805,       3.550084368,      -11.41967271,   1.465187798e-08,   1.514033725e-06,       6.075159579,       6.259242989,       6.259224613
          45,      0.1990756622,      -1.454689403,      0.9241268619,      0.5001513867,       3.363321339,      -11.41700381,   1.479831489e-08,   1.538423188e-06,       6.135911174,       6.321835419,       6.321814527
          46,      0.1991493068,      -1.411618281,      0.9374580418,      0.6009702382,       3.381486858,      -11.41839352,   1.494621377e-08,   1.586744031e-06,       6.197270286,       6.385053773,       6.385030318
          47,       0.199227636,       -1.40143017,       0.932111951,      0.5651952853,       3.348481234,      -11.41771949,   1.509558925e-08,   1.634255952e-06,       6.259242989,       6.448904311,       6.448880621
          48,      0.1992951426,      -1.416602663,      0.9479527217,      0.6116860983,       3.363490086,      -11.42512393,   1.524645615e-08,   1.677960391e-06,       6.321835419,       6.513393354,       6.513369427
          49,      0.1993590756,      -1.415124813,      0.8971839262,      0.4982636269,       3.375072343,      -11.41629174,   1.539882941e-08,   1.716901432e-06,       6.385053773,       6.578527287,       6.578498269
          50,      0.1994602511,      -1.370801415,      0.9928843857,      0.5845055413,       3.560239924,      -11.41322826,   1.555272411e-08,   1.750197086e-06,       6.448904311,        6.64431256,       6.644280825
          51,       0.199519196,      -1.358917192,      0.9364756814,      0.6532687903,       3.399867734,      -11.41612261,    1.57081555e-08,   1.777105857e-06,       6.513393354,       6.710755686,       6.710721207
          52,      0.1995460876,       -1.25119292,      0.9893261255,      0.5970459056,       3.518486556,      -11.41587403,   1.586513895e-08,   1.797169211e-06,       6.513393354,       6.777863243,       6.777821018
          53,      0.1996109731,      -1.302672854,      0.9288850588,      0.7135612629,       3.377038285,      -11.42445543,      1.602369e-08,   1.810310666e-06,       6.513393354,       6.845641875,       6.845594278
          54,      0.1996735134,        -1.4016349,      0.9136331016,      0.6187899965,       3.378312604,       -11.4289526,   1.618382435e-08,   1.816978685e-06,       6.513393354,       6.914098294,       6.914047794
